term,coef,std_err,t,p_value,ci_low,ci_high,model,r_squared,adj_r_squared,n_obs
Intercept,1.104493395916744,0.06387208824540018,17.292270008038845,5.37916179297885e-67,0.9793064033383956,1.2296803884950924,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(content_type)[T.informational],0.06750193071212368,0.01884205729700486,3.5825138225672317,0.000340303603811188,0.030572177015354036,0.10443168440889333,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(content_type)[T.promotional],0.04751376413016743,0.020755423608658695,2.2892216042435174,0.02206647995835218,0.006833881373324031,0.08819364688701084,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(post_format)[T.image],0.01130369239030269,0.02353490271026959,0.48029484249239146,0.6310177556765708,-0.034823869301479814,0.057431254082085194,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(post_format)[T.video],-0.061173958884712526,0.023485497308850026,-2.60475467392638,0.009194006450348952,-0.10720468776907094,-0.015143230000354113,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-02],-0.05590899006386603,0.05825987042901586,-0.9596483763551421,0.33723221300281647,-0.17009623784870723,0.05827825772097517,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-03],0.02550176169771228,0.05444219607512151,0.46841904875629803,0.6394849484828504,-0.08120298184879376,0.13220650524421834,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-04],-0.03779165704826168,0.05688089447603771,-0.6643998375268557,0.5064344368241646,-0.1492761616297189,0.07369284753319555,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-05],-0.0793121525212687,0.054899333425721626,-1.4446833426234116,0.14854685083744912,-0.18691286881093905,0.028288563768401623,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-06],-0.03440181340352358,0.058675377192208555,-0.5863074947235578,0.5576688954400146,-0.14940343947955526,0.08059981267250811,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-07],-0.09691684407507557,0.06134362485577856,-1.5799008340790286,0.11412957820263266,-0.21714813947353762,0.02331445132338647,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-08],-0.08945537220036372,0.05676235636210672,-1.5759629785221905,0.11503433541920019,-0.2007075463477209,0.02179680194699346,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-09],-0.056150494208876224,0.05538332807799783,-1.013851932657387,0.3106534104041262,-0.16469982258571791,0.05239883416796546,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-10],0.011521348104398213,0.05827061029208559,0.19772142503136028,0.8432630258804664,-0.10268694942525855,0.12572964563405498,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
C(year_month)[T.2024-11],-0.1196419763729813,0.05571358515396846,-2.147447091088146,0.031757705071157896,-0.2288385967243649,-0.010445356021597671,RQ3_High_Visibility,0.11125829111859664,0.10840490146431703,10000
